"Points","200m","300m","400m","500m","4x200m","4x400m"
"1105","23.76","38.06","53.45","1:10.20","1:36.33","3:36.99"
"1104","23.77","38.08","53.48","1:10.24","1:36.39","3:37.11"
"1103","23.78","38.10","53.50","1:10.28","1:36.44","3:37.23"
"1102","23.80","38.12","53.53","1:10.31","1:36.49","3:37.36"
"1101","23.81","38.14","53.56","1:10.35","1:36.54","3:37.48"
"1100","23.82","38.15","53.58","1:10.38","1:36.59","3:37.60"
"1099","23.83","38.17","53.61","1:10.42","1:36.65","3:37.72"
"1098","23.84","38.19","53.64","1:10.46","1:36.70","3:37.84"
"1097","23.85","38.21","53.66","1:10.49","1:36.75","3:37.96"
"1096","23.86","38.23","53.69","1:10.53","1:36.80","3:38.08"
"1095","23.87","38.25","53.72","1:10.57","1:36.86","3:38.20"
"1094","23.88","38.27","53.74","1:10.60","1:36.91","3:38.32"
"1093","23.89","38.28","53.77","1:10.64","1:36.96","3:38.45"
"1092","23.90","38.30","53.80","1:10.68","1:37.02","3:38.57"
"1091","23.91","38.32","53.82","1:10.71","1:37.07","3:38.69"
"1090","23.92","38.34","53.85","1:10.75","1:37.12","3:38.81"
"1089","23.94","38.36","53.88","1:10.79","1:37.17","3:38.93"
"1088","23.95","38.38","53.90","1:10.82","1:37.23","3:39.05"
"1087","23.96","38.40","53.93","1:10.86","1:37.28","3:39.18"
"1086","23.97","38.42","53.96","1:10.90","1:37.33","3:39.30"
"1085","23.98","38.43","53.98","1:10.93","1:37.38","3:39.42"
"1084","23.99","38.45","54.01","1:10.97","1:37.44","3:39.54"
"1083","24.00","38.47","54.04","1:11.01","1:37.49","3:39.66"
"1082","24.01","38.49","54.06","1:11.04","1:37.54","3:39.79"
"1081","24.02","38.51","54.09","1:11.08","1:37.60","3:39.91"
"1080","24.03","38.53","54.12","1:11.12","1:37.65","3:40.03"
"1079","24.04","38.55","54.14","1:11.15","1:37.70","3:40.15"
"1078","24.05","38.57","54.17","1:11.19","1:37.75","3:40.27"
"1077","24.07","38.58","54.20","1:11.23","1:37.81","3:40.40"
"1076","24.08","38.60","54.22","1:11.26","1:37.86","3:40.52"
"1075","24.09","38.62","54.25","1:11.30","1:37.91","3:40.64"
"1074","24.10","38.64","54.28","1:11.34","1:37.97","3:40.76"
"1073","24.11","38.66","54.30","1:11.37","1:38.02","3:40.89"
"1072","24.12","38.68","54.33","1:11.41","1:38.07","3:41.01"
"1071","24.13","38.70","54.36","1:11.45","1:38.13","3:41.13"
"1070","24.14","38.72","54.39","1:11.48","1:38.18","3:41.26"
"1069","24.15","38.73","54.41","1:11.52","1:38.23","3:41.38"
"1068","24.16","38.75","54.44","1:11.56","1:38.29","3:41.50"
"1067","24.17","38.77","54.47","1:11.60","1:38.34","3:41.62"
"1066","24.19","38.79","54.49","1:11.63","1:38.39","3:41.75"
"1065","24.20","38.81","54.52","1:11.67","1:38.45","3:41.87"
"1064","24.21","38.83","54.55","1:11.71","1:38.50","3:41.99"
"1063","24.22","38.85","54.57","1:11.74","1:38.55","3:42.12"
"1062","24.23","38.87","54.60","1:11.78","1:38.61","3:42.24"
"1061","24.24","38.89","54.63","1:11.82","1:38.66","3:42.36"
"1060","24.25","38.90","54.66","1:11.85","1:38.71","3:42.49"
"1059","24.26","38.92","54.68","1:11.89","1:38.77","3:42.61"
"1058","24.27","38.94","54.71","1:11.93","1:38.82","3:42.73"
"1057","24.28","38.96","54.74","1:11.97","1:38.87","3:42.86"
"1056","24.30","38.98","54.76","1:12.00","1:38.93","3:42.98"
"1055","24.31","39.00","54.79","1:12.04","1:38.98","3:43.10"
"1054","24.32","39.02","54.82","1:12.08","1:39.03","3:43.23"
"1053","24.33","39.04","54.84","1:12.11","1:39.09","3:43.35"
"1052","24.34","39.06","54.87","1:12.15","1:39.14","3:43.47"
"1051","24.35","39.07","54.90","1:12.19","1:39.19","3:43.60"
