"Points","200m","300m","400m","500m","4x200m","4x400m"
"1117","21.11","33.10","46.85","1:01.53","1:24.16","3:08.86"
"1116","-","33.12","46.87","1:01.55","1:24.19","3:08.93"
"1115","21.12","33.13","46.88","1:01.57","1:24.21","3:08.99"
"1114","21.13","33.14","46.90","1:01.59","1:24.24","3:09.06"
"1113","-","33.15","46.91","1:01.61","1:24.27","3:09.13"
"1112","21.14","33.16","46.93","1:01.63","1:24.29","3:09.20"
"1111","21.15","33.17","46.94","1:01.65","1:24.32","3:09.26"
"1110","-","33.18","46.96","1:01.67","1:24.35","3:09.33"
"1109","21.16","33.19","46.97","1:01.69","1:24.38","3:09.40"
"1108","21.17","33.21","46.99","1:01.71","1:24.40","3:09.47"
"1107","-","33.22","47.00","1:01.73","1:24.43","3:09.54"
"1106","21.18","33.23","47.02","1:01.75","1:24.46","3:09.60"
"1105","21.19","33.24","47.03","1:01.77","1:24.48","3:09.67"
"1104","-","33.25","47.05","1:01.79","1:24.51","3:09.74"
"1103","21.20","33.26","47.06","1:01.81","1:24.54","3:09.81"
"1102","21.21","33.27","47.08","1:01.83","1:24.56","3:09.88"
"1101","-","33.28","47.09","1:01.85","1:24.59","3:09.94"
"1100","21.22","33.29","47.11","1:01.87","1:24.62","3:10.01"
"1099","21.23","33.31","47.12","1:01.89","1:24.64","3:10.08"
"1098","21.24","33.32","47.14","1:01.91","1:24.67","3:10.15"
"1097","-","33.33","47.15","1:01.93","1:24.70","3:10.22"
"1096","21.25","33.34","47.17","1:01.95","1:24.73","3:10.28"
"1095","21.26","33.35","47.19","1:01.97","1:24.75","3:10.35"
"1094","-","33.36","47.20","1:01.99","1:24.78","3:10.42"
"1093","21.27","33.37","47.22","1:02.01","1:24.81","3:10.49"
"1092","21.28","33.38","47.23","1:02.03","1:24.83","3:10.56"
"1091","-","33.40","47.25","1:02.05","1:24.86","3:10.63"
"1090","21.29","33.41","47.26","1:02.07","1:24.89","3:10.70"
"1089","21.30","33.42","47.28","1:02.09","1:24.92","3:10.76"
"1088","-","33.43","47.29","1:02.11","1:24.94","3:10.83"
"1087","21.31","33.44","47.31","1:02.13","1:24.97","3:10.90"
"1086","21.32","33.45","47.32","1:02.15","1:25.00","3:10.97"
"1085","-","33.46","47.34","1:02.17","1:25.02","3:11.04"
"1084","21.33","33.48","47.35","1:02.19","1:25.05","3:11.11"
"1083","21.34","33.49","47.37","1:02.21","1:25.08","3:11.18"
"1082","-","33.50","47.38","1:02.23","1:25.11","3:11.24"
"1081","21.35","33.51","47.40","1:02.25","1:25.13","3:11.31"
"1080","21.36","33.52","47.41","1:02.27","1:25.16","3:11.38"
"1079","-","33.53","47.43","1:02.29","1:25.19","3:11.45"
"1078","21.37","33.54","47.45","1:02.31","1:25.21","3:11.52"
"1077","21.38","33.55","47.46","1:02.34","1:25.24","3:11.59"
"1076","-","33.57","47.48","1:02.36","1:25.27","3:11.66"
"1075","21.39","33.58","47.49","1:02.38","1:25.30","3:11.73"
"1074","21.40","33.59","47.51","1:02.40","1:25.32","3:11.80"
"1073","-","33.60","47.52","1:02.42","1:25.35","3:11.86"
"1072","21.41","33.61","47.54","1:02.44","1:25.38","3:11.93"
"1071","21.42","33.62","47.55","1:02.46","1:25.41","3:12.00"
"1070","-","33.63","47.57","1:02.48","1:25.43","3:12.07"
"1069","21.43","33.65","47.58","1:02.50","1:25.46","3:12.14"
"1068","21.44","33.66","47.60","1:02.52","1:25.49","3:12.21"
"1067","-","33.67","47.62","1:02.54","1:25.52","3:12.28"
